11;53;1;6632
11;52;1;7018
11;51;1;7014
11;50;1;6339
11;49;1;6974
11;48;1;6950
11;47;1;6946
11;46;1;6866
11;45;1;6284
11;44;1;6286
11;43;1;6282
11;42;1;4971
11;41;1;5968
11;40;1;6009
11;39;1;5977
11;38;1;6039
11;37;1;6193
11;36;1;5733
11;35;1;5807
11;34;1;5555
11;33;1;5342
11;32;1;5373
11;31;1;5284
11;30;1;5318
11;29;1;5219
11;28;1;5194
11;27;1;5167
11;26;1;5165
11;25;1;5089
11;24;1;4883
11;23;1;4891
11;22;1;4798
11;21;1;4798
11;20;1;4757
11;19;1;4753
11;18;1;4671
11;17;1;4500
11;16;1;4374
11;15;1;4270
11;14;1;4330
11;13;1;4184
11;12;1;4159
11;11;1;4142
11;11;15;10798
11;11;14;9658
11;11;13;9788
11;11;12;8785
11;11;11;8653
11;11;10;7753
11;11;9;6206
11;11;8;6968
11;11;7;6894
11;11;6;6139
11;11;5;6043
11;11;4;5385
11;11;3;5006
11;11;2;4265
11;27;10;12203
11;27;9;11759
11;27;8;10357
11;27;7;9801
11;27;6;8708
11;27;5;6522
11;27;4;7090
11;27;3;6391
11;27;2;5235
11;41;8;13185
11;41;7;12090
11;41;6;10688
11;41;5;9603
11;41;4;8262
11;41;3;7503
11;41;2;6018
11;50;5;11598
11;50;4;10057
11;50;3;8639
11;50;2;6942
